ImageFile,FD,Contrast,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,end_instructions.keys,end_instructions.rt,key_resp_4.keys,key_resp_4.rt,key_resp_6.keys,key_resp_6.rt,Fatigue.response,Fatigue.rt,key_resp_5.keys,key_resp_5.rt,n_objets.response,reaction_time.keys,vividness.response,vividness.rt,reaction_time.rt,Flow01.response,Flow02.response,Flow03.response,Flow04.response,Flow05.response,Flow06.response,Flow07.response,Flow08.response,Flow09.response,Flow10.response,key_resp_2.keys,key_resp_2.rt,key_resp_8.keys,key_resp_8.rt,key_resp_3.keys,key_resp_3.rt,Redondance_question.response,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,space,6.5671895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
,,,,,,,,,,,,,,,,,,,,,space,17.6521617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
,,,,,,,,,,,,,,,,,,,,,,,space,8.5609304,,,,,,,,,,,,,,,,,,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
,,,,,,,,,,,,,,,,,,,,,,,,,7,44.807,,,,,,,,,,,,,,,,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
,,,,,,,,,,,,,,,,,,,,,,,,,,,space,3.3665812,,,,,,,,,,,,,,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
pratique/fcloud_D0.8_30,0.8,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,1,None,2,2.851,,,,,,,,,,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
pratique/fcloud80-20_D1_30,1.0,2,0,1,1,9,,,,,,,,,,,,,,,,,,,,,,,2,None,4,21.537,,,,,,,,,,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
pratique/fcloud65-35_D1.2_30,1.2,1,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,None,None,None,32.623,,,,,,,,,,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
pratique/fcloud_D1.6_28,1.6,0,0,3,3,5,,,,,,,,,,,,,,,,,,,,,,,1,space,4,1.435,4.2142403,,,,,,,,,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
pratique/fcloud65-35_D1.9_29,1.9,1,0,4,4,7,,,,,,,,,,,,,,,,,,,,,,,1,space,4,1.934,5.4038737,,,,,,,,,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
pratique/fcloud80-20_D1.8_30,1.8,2,0,5,5,4,,,,,,,,,,,,,,,,,,,,,,,None,None,None,10.959,,,,,,,,,,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
pratique/fcloud80-20_D1.5_30,1.5,2,0,6,6,8,,,,,,,,,,,,,,,,,,,,,,,1,space,4,1.217,6.2738218,,,,,,,,,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
pratique/fcloud_D1.4_30,1.4,0,0,7,7,1,,,,,,,,,,,,,,,,,,,,,,,1,space,5,1.302,2.56854550001,,,,,,,,,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
pratique/fcloud65-35_D1.6_30,1.6,1,0,8,8,2,,,,,,,,,,,,,,,,,,,,,,,1,space,4,1.169,5.0431456,,,,,,,,,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
pratique/fcloud65-35_D1.3_30,1.3,1,0,9,9,6,,,,,,,,,,,,,,,,,,,,,,,None,None,None,12.223,,,,,,,,,,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.0848183,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
images/fcloud80-20_D1.7_3.tif,1.7,2,,,,,0,0,0,101,,,,,,,,,,,,,,,,,,,1,space,5,0.885,2.9566043,,,,,,,,,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
images/fcloud65-35_D1.3_3.tif,1.3,1,,,,,0,1,1,53,,,,,,,,,,,,,,,,,,,1,space,3,2.201,1.66513160001,,,,,,,,,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
images/fcloud65-35_D1.9_3.tif,1.9,1,,,,,0,2,2,71,,,,,,,,,,,,,,,,,,,1,None,3,0.983,,,,,,,,,,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
images/fcloud_D1.5_3.tif,1.5,0,,,,,0,3,3,23,,,,,,,,,,,,,,,,,,,1,space,4,1.434,3.9778077,,,,,,,,,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
images/fcloud_D1.5_2.tif,1.5,0,,,,,0,4,4,22,,,,,,,,,,,,,,,,,,,1,space,2,0.869,6.7235831,,,,,,,,,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
images/fcloud65-35_D0.8_3.tif,0.8,1,,,,,0,5,5,38,,,,,,,,,,,,,,,,,,,1,space,1,3.583,5.7016751,,,,,,,,,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
images/fcloud80-20_D0.8_3.tif,0.8,2,,,,,0,6,6,74,,,,,,,,,,,,,,,,,,,1,space,2,1.085,6.28914209999,,,,,,,,,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
images/fcloud80-20_D1.2_1.tif,1.2,2,,,,,0,7,7,84,,,,,,,,,,,,,,,,,,,2,space,4,0.917,2.0723018,,,,,,,,,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
images/fcloud80-20_D1.1_1.tif,1.1,2,,,,,0,8,8,81,,,,,,,,,,,,,,,,,,,1,space,3,0.768,5.4980113,,,,,,,,,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
images/fcloud65-35_D0.8_1.tif,0.8,1,,,,,0,9,9,36,,,,,,,,,,,,,,,,,,,1,space,2,0.834,4.8509639,,,,,,,,,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
images/fcloud_D1.7_3.tif,1.7,0,,,,,0,10,10,29,,,,,,,,,,,,,,,,,,,2,space,4,1.535,2.86663829999,,,,,,,,,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
images/fcloud_D1.5_1.tif,1.5,0,,,,,0,11,11,21,,,,,,,,,,,,,,,,,,,1,space,3,1.718,4.5949666,,,,,,,,,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
images/fcloud_D1.4_1.tif,1.4,0,,,,,0,12,12,18,,,,,,,,,,,,,,,,,,,1,space,2,1.119,4.5153661,,,,,,,,,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
images/fcloud_D1.4_2.tif,1.4,0,,,,,0,13,13,19,,,,,,,,,,,,,,,,,,,1,space,5,0.668,1.6989904,,,,,,,,,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
images/fcloud_D1.9_3.tif,1.9,0,,,,,0,14,14,35,,,,,,,,,,,,,,,,,,,2,space,3,1.868,3.8789981,,,,,,,,,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
images/fcloud_D1.6_3.tif,1.6,0,,,,,0,15,15,26,,,,,,,,,,,,,,,,,,,2,space,4,1.335,2.3358587,,,,,,,,,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
images/fcloud65-35_D1.2_3.tif,1.2,1,,,,,0,16,16,50,,,,,,,,,,,,,,,,,,,3,None,1,1.518,,,,,,,,,,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
images/fcloud65-35_D1.2_2.tif,1.2,1,,,,,0,17,17,49,,,,,,,,,,,,,,,,,,,2,space,2,1.118,4.14014269999,,,,,,,,,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
images/fcloud_D1.4_3.tif,1.4,0,,,,,0,18,18,20,,,,,,,,,,,,,,,,,,,2,space,5,0.785,1.82583240001,,,,,,,,,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
images/fcloud65-35_D1.6_2.tif,1.6,1,,,,,0,19,19,61,,,,,,,,,,,,,,,,,,,2,space,5,1.418,1.4567886,,,,,,,,,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
images/fcloud65-35_D1.2_1.tif,1.2,1,,,,,0,20,20,48,,,,,,,,,,,,,,,,,,,1,space,2,0.686,6.7708281,,,,,,,,,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
images/fcloud80-20_D1.7_2.tif,1.7,2,,,,,0,21,21,100,,,,,,,,,,,,,,,,,,,2,space,3,0.634,3.7688849,,,,,,,,,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
images/fcloud65-35_D1.1_3.tif,1.1,1,,,,,0,22,22,47,,,,,,,,,,,,,,,,,,,1,space,1,0.736,5.3837848,,,,,,,,,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
images/fcloud_D1.1_2.tif,1.1,0,,,,,0,23,23,10,,,,,,,,,,,,,,,,,,,1,space,4,1.235,3.7145615,,,,,,,,,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
images/fcloud_D1.1_1.tif,1.1,0,,,,,0,24,24,9,,,,,,,,,,,,,,,,,,,3,space,4,1.384,3.9746419,,,,,,,,,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
images/fcloud65-35_D1.5_1.tif,1.5,1,,,,,0,25,25,57,,,,,,,,,,,,,,,,,,,1,space,3,1.785,2.9587764,,,,,,,,,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
images/fcloud65-35_D1.3_1.tif,1.3,1,,,,,0,26,26,51,,,,,,,,,,,,,,,,,,,1,space,3,1.3,2.8688411,,,,,,,,,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
images/fcloud80-20_D0.9_2.tif,0.9,2,,,,,0,27,27,76,,,,,,,,,,,,,,,,,,,1,space,4,0.82,3.2768367,,,,,,,,,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
images/fcloud65-35_D1_2.tif,1.0,1,,,,,0,28,28,43,,,,,,,,,,,,,,,,,,,2,space,2,1.119,3.3395749,,,,,,,,,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
images/fcloud_D0.9_2.tif,0.9,0,,,,,0,29,29,4,,,,,,,,,,,,,,,,,,,1,space,5,0.702,1.3386482,,,,,,,,,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
images/fcloud80-20_D1.8_1.tif,1.8,2,,,,,0,30,30,102,,,,,,,,,,,,,,,,,,,1,space,3,0.768,3.7620367,,,,,,,,,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
images/fcloud80-20_D1_3.tif,1.0,2,,,,,0,31,31,80,,,,,,,,,,,,,,,,,,,2,space,3,1.534,2.0041746,,,,,,,,,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
images/fcloud_D0.8_2.tif,0.8,0,,,,,0,32,32,1,,,,,,,,,,,,,,,,,,,2,space,2,0.969,4.0221039,,,,,,,,,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
images/fcloud80-20_D1.4_3.tif,1.4,2,,,,,0,33,33,92,,,,,,,,,,,,,,,,,,,2,space,2,0.686,1.960128,,,,,,,,,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
images/fcloud80-20_D1_2.tif,1.0,2,,,,,0,34,34,79,,,,,,,,,,,,,,,,,,,1,space,3,1.701,4.2463194,,,,,,,,,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
images/fcloud65-35_D1.8_1.tif,1.8,1,,,,,0,35,35,66,,,,,,,,,,,,,,,,,,,3,space,5,0.952,2.1841534,,,,,,,,,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
images/fcloud_D1.6_1.tif,1.6,0,,,,,0,36,36,24,,,,,,,,,,,,,,,,,,,3,space,5,1.434,2.7801267,,,,,,,,,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
images/fcloud_D1.2_1.tif,1.2,0,,,,,0,37,37,12,,,,,,,,,,,,,,,,,,,1,space,2,0.752,4.7851581,,,,,,,,,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
images/fcloud65-35_D1.7_3.tif,1.7,1,,,,,0,38,38,65,,,,,,,,,,,,,,,,,,,2,space,4,1.036,2.9730135,,,,,,,,,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
images/fcloud_D1.6_2.tif,1.6,0,,,,,0,39,39,25,,,,,,,,,,,,,,,,,,,1,space,5,1.452,2.0325033,,,,,,,,,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
images/fcloud65-35_D1.4_1.tif,1.4,1,,,,,0,40,40,54,,,,,,,,,,,,,,,,,,,1,space,5,0.651,1.28196979999,,,,,,,,,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
images/fcloud_D1.3_1.tif,1.3,0,,,,,0,41,41,15,,,,,,,,,,,,,,,,,,,1,space,3,1.634,6.42575140001,,,,,,,,,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
images/fcloud65-35_D0.9_3.tif,0.9,1,,,,,0,42,42,41,,,,,,,,,,,,,,,,,,,2,space,4,0.552,3.3241254,,,,,,,,,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
images/fcloud_D1.8_1.tif,1.8,0,,,,,0,43,43,30,,,,,,,,,,,,,,,,,,,3,space,3,1.201,4.4598038,,,,,,,,,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
images/fcloud80-20_D0.8_2.tif,0.8,2,,,,,0,44,44,73,,,,,,,,,,,,,,,,,,,1,space,5,0.652,1.2827775,,,,,,,,,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
images/fcloud80-20_D1.4_2.tif,1.4,2,,,,,0,45,45,91,,,,,,,,,,,,,,,,,,,1,space,3,1.234,2.65121529999,,,,,,,,,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
images/fcloud65-35_D0.8_2.tif,0.8,1,,,,,0,46,46,37,,,,,,,,,,,,,,,,,,,1,space,5,0.802,4.6271484,,,,,,,,,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
images/fcloud65-35_D1.1_1.tif,1.1,1,,,,,0,47,47,45,,,,,,,,,,,,,,,,,,,1,space,5,0.585,1.7867425,,,,,,,,,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
images/fcloud80-20_D1.5_3.tif,1.5,2,,,,,0,48,48,95,,,,,,,,,,,,,,,,,,,2,space,4,1.352,3.781656,,,,,,,,,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
images/fcloud_D1_1.tif,1.0,0,,,,,0,49,49,6,,,,,,,,,,,,,,,,,,,3,space,3,1.634,2.1721456,,,,,,,,,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
images/fcloud65-35_D1.6_3.tif,1.6,1,,,,,0,50,50,62,,,,,,,,,,,,,,,,,,,2,space,3,1.22,3.9703242,,,,,,,,,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
images/fcloud65-35_D1.4_2.tif,1.4,1,,,,,0,51,51,55,,,,,,,,,,,,,,,,,,,1,space,3,1.518,4.0511715,,,,,,,,,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
images/fcloud80-20_D0.8_1.tif,0.8,2,,,,,0,52,52,72,,,,,,,,,,,,,,,,,,,2,space,2,0.752,1.6323731,,,,,,,,,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
images/fcloud80-20_D1.3_3.tif,1.3,2,,,,,0,53,53,89,,,,,,,,,,,,,,,,,,,1,space,1,0.918,4.25368,,,,,,,,,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
images/fcloud65-35_D1.1_2.tif,1.1,1,,,,,0,54,54,46,,,,,,,,,,,,,,,,,,,1,space,2,1.002,7.1036094,,,,,,,,,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
images/fcloud_D1.8_3.tif,1.8,0,,,,,0,55,55,32,,,,,,,,,,,,,,,,,,,2,space,3,1.186,3.3528505,,,,,,,,,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
images/fcloud65-35_D1.9_2.tif,1.9,1,,,,,0,56,56,70,,,,,,,,,,,,,,,,,,,2,space,4,1.785,1.2749875,,,,,,,,,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
images/fcloud65-35_D1.5_3.tif,1.5,1,,,,,0,57,57,59,,,,,,,,,,,,,,,,,,,1,space,5,0.52,3.0526262,,,,,,,,,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
images/fcloud65-35_D1.7_2.tif,1.7,1,,,,,0,58,58,64,,,,,,,,,,,,,,,,,,,1,space,5,0.553,1.5332625,,,,,,,,,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
images/fcloud80-20_D1.6_1.tif,1.6,2,,,,,0,59,59,96,,,,,,,,,,,,,,,,,,,2,space,4,0.818,2.2279916,,,,,,,,,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
images/fcloud80-20_D1.9_2.tif,1.9,2,,,,,0,60,60,106,,,,,,,,,,,,,,,,,,,1,space,2,2.118,4.07394040001,,,,,,,,,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
images/fcloud_D1.3_3.tif,1.3,0,,,,,0,61,61,17,,,,,,,,,,,,,,,,,,,1,space,5,0.653,1.3238853,,,,,,,,,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
images/fcloud80-20_D1.2_3.tif,1.2,2,,,,,0,62,62,86,,,,,,,,,,,,,,,,,,,2,space,3,0.619,3.4170925,,,,,,,,,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
images/fcloud65-35_D0.9_1.tif,0.9,1,,,,,0,63,63,39,,,,,,,,,,,,,,,,,,,1,space,2,0.585,5.49305,,,,,,,,,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
images/fcloud_D0.9_3.tif,0.9,0,,,,,0,64,64,5,,,,,,,,,,,,,,,,,,,3,space,3,1.784,2.5450537,,,,,,,,,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
images/fcloud80-20_D1.7_1.tif,1.7,2,,,,,0,65,65,99,,,,,,,,,,,,,,,,,,,1,space,4,0.668,1.3159146,,,,,,,,,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
images/fcloud_D1.2_3.tif,1.2,0,,,,,0,66,66,14,,,,,,,,,,,,,,,,,,,1,space,3,0.818,5.751493,,,,,,,,,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
images/fcloud_D1_2.tif,1.0,0,,,,,0,67,67,7,,,,,,,,,,,,,,,,,,,1,space,3,1.602,2.5743892,,,,,,,,,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
images/fcloud_D0.8_3.tif,0.8,0,,,,,0,68,68,2,,,,,,,,,,,,,,,,,,,2,space,4,0.703,1.9643026,,,,,,,,,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
images/fcloud80-20_D1.3_1.tif,1.3,2,,,,,0,69,69,87,,,,,,,,,,,,,,,,,,,1,space,2,0.888,4.4203443,,,,,,,,,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
images/fcloud65-35_D1_3.tif,1.0,1,,,,,0,70,70,44,,,,,,,,,,,,,,,,,,,3,space,2,1.384,3.2363311,,,,,,,,,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
images/fcloud65-35_D1.3_2.tif,1.3,1,,,,,0,71,71,52,,,,,,,,,,,,,,,,,,,1,space,3,0.601,4.8460844,,,,,,,,,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
images/fcloud_D1.7_2.tif,1.7,0,,,,,0,72,72,28,,,,,,,,,,,,,,,,,,,1,space,3,0.852,3.87816850001,,,,,,,,,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
images/fcloud80-20_D1.8_2.tif,1.8,2,,,,,0,73,73,103,,,,,,,,,,,,,,,,,,,1,space,5,0.652,1.9205646,,,,,,,,,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
images/fcloud80-20_D1.9_3.tif,1.9,2,,,,,0,74,74,107,,,,,,,,,,,,,,,,,,,3,space,4,1.25,2.0099294,,,,,,,,,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
images/fcloud80-20_D0.9_3.tif,0.9,2,,,,,0,75,75,77,,,,,,,,,,,,,,,,,,,2,space,3,0.553,4.44323780001,,,,,,,,,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
images/fcloud_D0.8_1.tif,0.8,0,,,,,0,76,76,0,,,,,,,,,,,,,,,,,,,1,space,4,0.868,1.3084721,,,,,,,,,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
images/fcloud_D1.9_1.tif,1.9,0,,,,,0,77,77,33,,,,,,,,,,,,,,,,,,,3,space,3,0.919,1.3165134,,,,,,,,,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
images/fcloud80-20_D0.9_1.tif,0.9,2,,,,,0,78,78,75,,,,,,,,,,,,,,,,,,,1,space,1,1.802,4.9684825,,,,,,,,,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
images/fcloud_D1.7_1.tif,1.7,0,,,,,0,79,79,27,,,,,,,,,,,,,,,,,,,2,space,4,1.369,2.0735527,,,,,,,,,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
images/fcloud80-20_D1.5_2.tif,1.5,2,,,,,0,80,80,94,,,,,,,,,,,,,,,,,,,1,space,5,0.669,3.2347861,,,,,,,,,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
images/fcloud65-35_D1.9_1.tif,1.9,1,,,,,0,81,81,69,,,,,,,,,,,,,,,,,,,2,space,4,1.02,4.255096,,,,,,,,,,,,,,,,,,2019_Aug_30_1558,59.673098830382635,Cloud_Experiment_FR_REAL,001,44,
